#OM_number;a;b
1;196.432;6.26855
2;168.21;-2.66066
3;195.945;9.30972
4;165.479;-4.65252
5;168.642;4.07297
6;174.43;6.27434
7;207.703;3.88913
8;193.153;6.82897
9;162.776;6.37032
10;173.96;7.36024
11;177.42;-8.26331
14;186.105;7.98542
15;170.888;3.79434
16;161.482;3.44015
17;179.491;-0.7246
18;177.118;4.14815
19;184.828;4.98091
20;197.887;5.73043
21;167.789;12.7061
22;179.959;0.869725
23;190.687;3.5306
24;180.813;-4.38449
27;188.769;-3.25564
28;193.184;0.534143
29;190.01;7.62916
30;190.272;4.1847
31;180.226;-6.31546
32;203.015;12.0481
33;201.851;-2.38314
34;176.293;20.9321
35;175.549;2.26789
36;173.088;-0.0993416
37;181.377;-16.8602
40;160.983;13.2018
41;187.325;1.47322
42;176.456;-3.13033
43;185.025;-0.295258
44;159.982;-2.99707
45;207.67;6.07027
46;172.763;12.9596
47;164.306;8.16204
48;168.892;14.6281
49;176.7;27.6128
50;185.854;5.57499
53;167.444;-3.36369
54;188.036;-1.77183
55;184.623;-11.1703
56;161.082;4.56024
57;162.346;5.20644
58;187.665;1.31735
59;203.009;-5.59281
60;178.149;-3.43233
61;195.04;7.616
62;192.387;10.8673
63;184.176;-9.20253
66;169.193;2.3997
67;176.029;11.1676
68;189.524;-5.64875
69;167.929;5.30076
70;151.14;-2.56878
71;155.281;3.04782
72;167.464;6.36596
73;170.923;11.4112
75;179.557;8.04127
76;185.645;12.608
79;160.539;2.987
81;206.853;4.44443
82;177.136;3.32576
83;148.939;6.07076
84;215.049;9.23542
85;198.562;0.42904
86;199.309;13.341
87;176.88;11.6187
88;170.105;5.65982
89;149.225;12.9636
92;170.759;13.1184
93;160.045;12.3064
94;180.006;3.6788
95;207.676;-4.33978
96;166.87;-0.884701
97;178.208;7.42434
99;182.688;2.49772
100;207.566;6.6821
101;200.238;13.3345
102;180.275;10.9447
105;161.723;-10.3567
106;187.305;6.33302
107;168.603;0.494877
108;147.929;0.732446
109;174.843;2.04051
110;163.497;7.07569
111;184.181;-1.62405
112;260.232;-266.757
113;177.636;-4.80928
114;167.368;6.70717
115;163.63;5.99909
118;169.675;2.79557
120;170.19;1.55325
121;211.136;1.00849
122;189.26;0.191933
123;199.519;3.27055
